sources;port_name;coordinates;locode;country_region;fao_areas
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aigiali Amorgou;36.913,25.955,0.000001;GRAGL;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aigina;37.746,23.208,0.000001;GRAIN;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aigio;38.258,22.085,0.000001;GRAIG;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db,WPI;Aigio;38.250000,22.083333,0.000001;GRGIE;Greece - Greece West Coast -- 41710;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ainazi;57.863,24.359,0.000001;LVAIN;LV;{27.3.d.28.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aire-Sur-La-Lys;50.638757,2.396187,0.000001;FRAYS;FR - 62;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aita Mare;45.96666667,25.55,0.000001;ROATM;RO;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aix-En-Provence;43.529742,5.447427,0.000001;FRQXB;FR - 13;{37.1.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aix-Villemaur-Palis;48.2690915,3.7162818,0.000001;FRAXP;FR - 10;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ajaotsa;59.56638889,25.65416667,0.000001;EEAJT;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ajos;65.6744,24.2251,0.000001;FIAJO;FI;{27.3.d.31}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Akersloot;;NLAKL;NL;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Akhtopol;42.10055556,27.93333333,0.000001;BGAKH;BG;{37.4.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Akkrum;;NLAKR;NL;
WPI;Akrahamn;59.266667,5.183333,0.000001;NOAKM;Norway - Norway -- 20620;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Akrotiri Fishing Shelter;34.586,32.935,0.000001;CYAFS;CY;{37.3.2}
WPI;Aksaz Limani;36.833333,28.383333,0.000001;;Turkey - Italy -- 40345;
WPI;Akureyri;65.683333,-18.083333,0.000001;ISAKU;Iceland - Iceland  North Coast -- 200;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ala;61.21666667,17.15,0.000001;SEALA;SE;{27.3.d.30}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ala-Haraka;57.85472222,26.9375,0.000001;EEALH;EE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ala-Vagula;57.83777778,26.93777778,0.000001;EEALG;EE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Alajärvi;63.0,23.8,0.000001;FIAJI;FI;{27.3.d.30}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Alajõe;59.01527778,27.42916667,0.000001;EEALJ;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Alajõe Jõesadam;59.00972222,27.42944444,0.000001;EEAJS;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Alajõe Kalasadam;59.00777778,27.43333333,0.000001;EEAKS;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Alajõe Saare Kinnistu;59.00861111,27.42666667,0.000001;EEALS;EE;{27.3.d.32}
WPI;Alanya;36.533333,32.000000,0.000001;TRALA;Turkey - Turkey Asia -- 44360;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Alassio;44.0,8.166667,0.000001;ITALS;IT;{37.1.3}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Alatskivi;58.59972222,27.1325,0.000001;EEAEC;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Alavus;;FIALV;FI;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Albbruck;;DEABK;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Albena;43.378259,28.098876,0.000001;BGALB;BG;{37.4.2}
