PUERTO BASE;AÑO;NUM_BARCOS
Candas;2014;6
Candas;2015;6
Candas;2016;7
Candas;2017;6
Candas;2018;6
Candas;2019;6
Candas;2020;6
Candas;2021;5
Candas;2022;5
Candas;2023;6
Candas;2024;6
Candas;2025;6
Candelaria;2006;22
Candelaria;2007;22
Candelaria;2008;20
Candelaria;2009;20
Candelaria;2010;23
Candelaria;2011;24
Candelaria;2012;25
Candelaria;2013;24
Candelaria;2014;21
Candelaria;2015;22
Candelaria;2016;21
Candelaria;2017;19
Candelaria;2018;17
Candelaria;2019;19
Candelaria;2020;18
Candelaria;2021;18
Candelaria;2022;16
Candelaria;2023;16
Candelaria;2024;17
Candelaria;2025;17
Cangas;2006;174
Cangas;2007;177
Cangas;2008;162
Cangas;2009;164
Cangas;2010;163
Cangas;2011;163
Cangas;2012;158
Cangas;2013;155
Cangas;2014;152
Cangas;2015;149
Cangas;2016;148
Cangas;2017;143
Cangas;2018;141
Cangas;2019;139
Cangas;2020;136
Cangas;2021;138
Cangas;2022;138
Cangas;2023;138
Cangas;2024;141
Cangas;2025;140
Canido;2017;1
Canido;2018;1
Canido;2019;1
Canido;2020;1
Canido;2021;1
Canido;2022;1
Carboneras;2006;78
Carboneras;2007;75
Carboneras;2008;72
Carboneras;2009;72
Carboneras;2010;70
Carboneras;2011;64
Carboneras;2012;61
Carboneras;2013;53
Carboneras;2014;54
Carboneras;2015;49
Carboneras;2016;57
Carboneras;2017;56
Carboneras;2018;56
Carboneras;2019;55
Carboneras;2020;53
Carboneras;2021;52
Carboneras;2022;51
Carboneras;2023;58
Carboneras;2024;59
Carboneras;2025;61
Cariño;2006;52
Cariño;2007;52
Cariño;2008;51
Cariño;2009;51
Cariño;2010;49
Cariño;2011;45
Cariño;2012;48
Cariño;2013;49
Cariño;2014;45
Cariño;2015;40
Cariño;2016;38
Cariño;2017;38
Cariño;2018;39
Cariño;2019;38
Cariño;2020;37
Cariño;2021;37
Cariño;2022;34
Cariño;2023;32
Cariño;2024;32
Cariño;2025;30
Carreira-Aguiño;2006;138
Carreira-Aguiño;2007;134
Carreira-Aguiño;2008;127
Carreira-Aguiño;2009;127
Carreira-Aguiño;2010;125
Carreira-Aguiño;2011;122
Carreira-Aguiño;2012;120
Carreira-Aguiño;2013;116
Carreira-Aguiño;2014;114
Carreira-Aguiño;2015;112
Carreira-Aguiño;2016;112
Carreira-Aguiño;2017;109
Carreira-Aguiño;2018;107
